--------------------------------------------------------------------------------
TIMESTAMP: 05:34:50.279 PM 28-Jun-2022
PARAMS:
  population 0
  wiggle-angle 45
  look-ahead 1
  sniff-threshold 0.9
  sniff-angle 45
  chemical-drop 3
  diffuse-share 1
  evaporation-rate 0.95
  cluster-threshold 25
  cluster-radius 10
  learning-turtles 50
  ticks-per-episode 500
  episodes 1500
  learning-rate 0.1
  discount-factor 0.9
  reward 100
  penalty -1
  e-greedy 0.5 0.9
ACTION SPACE: move-toward-chemical random-walk move-and-drop walk-and-drop drop-chemical
OBSERVATION SPACE: chemical-here in-cluster
REWARD: rewardFunc8
--------------------------------------------------------------------------------
Episode, Tick, Avg cluster size X tick, Avg reward X episode, move-toward-chemical, random-walk, move-and-drop, walk-and-drop, drop-chemical
59, 29099, 0, 0, 1794, 675, 1302, 574, 655
59, 29199, 0, 0, 3256, 1491, 2528, 1397, 1328
59, 29299, 0, 0, 4691, 2357, 3692, 2231, 2029
59, 29399, 0, 0, 6079, 3169, 4823, 3159, 2770
59, 29499, 26, 0, 7515, 4027, 5920, 4092, 3446
60, 29599, 0, 0, 1934, 597, 1215, 618, 636
60, 29699, 0, 0, 3613, 1432, 2225, 1502, 1228
60, 29799, 0, 0, 5029, 2382, 3081, 2520, 1988
60, 29899, 0, 0, 6416, 3305, 3885, 3478, 2916
60, 29999, 0, 0, 7837, 4200, 4613, 4463, 3887
61, 30099, 0, 0, 1939, 578, 954, 734, 795
61, 30199, 0, 0, 3549, 1450, 1902, 1544, 1555
61, 30299, 0, 0, 5153, 2279, 2953, 2331, 2284
61, 30399, 0, 0, 6665, 3122, 4088, 3142, 2983
61, 30499, 0, 0, 8146, 4011, 5229, 3942, 3672
62, 30599, 0, 0, 1819, 694, 1183, 666, 638
62, 30699, 0, 0, 3345, 1611, 2267, 1468, 1309
62, 30799, 26.6, 0, 4676, 2452, 3411, 2282, 2179
62, 30899, 28.608695652173914, 0, 5963, 3267, 4522, 3111, 3137
62, 30999, 28, 0, 7272, 4212, 5522, 3877, 4117
63, 31099, 0, 0, 1711, 803, 1176, 633, 677
63, 31199, 0, 0, 3324, 1740, 2162, 1511, 1263
63, 31299, 0, 0, 4918, 2719, 3084, 2422, 1857
63, 31399, 0, 0, 6504, 3612, 3996, 3359, 2529
63, 31499, 0, 0, 8139, 4551, 5032, 4233, 3045
64, 31599, 0, 0, 2088, 566, 1171, 676, 499
64, 31699, 0, 0, 3717, 1395, 2200, 1496, 1192
64, 31799, 0, 0, 5193, 2202, 3472, 2351, 1782
64, 31899, 0, 0, 6693, 3036, 4705, 3182, 2384
64, 31999, 0, 0, 8211, 3944, 5808, 4028, 3009
65, 32099, 0, 0, 1955, 654, 1279, 662, 450
65, 32199, 0, 0, 3509, 1531, 2531, 1521, 908
65, 32299, 0, 0, 5041, 2441, 3745, 2392, 1381
65, 32399, 0, 0, 6674, 3266, 5018, 3224, 1818
65, 32499, 0, 0, 8206, 4137, 6349, 4087, 2221
66, 32599, 0, 0, 1840, 683, 1381, 694, 402
66, 32699, 0, 0, 3470, 1457, 2710, 1542, 821
66, 32799, 0, 0, 5037, 2255, 4028, 2394, 1286
66, 32899, 0, 0, 6572, 3086, 5356, 3282, 1704
